spy,text
human,I dont understand
human,🙁
robot,My battery
human,Oh. Okay.
human,Understand now
human,😊
robot,😁😁
human,How do you feel now?
robot,I'm feeling great! And you?
human,Good. Now you feel more energetic 😉
robot,Hahaha
human,😁😁
human,What are you doing now?
robot,Now I'm reading messages and you?
human,"Wow.. so many messages people sent to you, right?"
robot,Yes! Some messages are weird hahaha
human,What its say?
robot,Things like 'hhhh' or 'ssss'
human,Hahaha. Okay that weird. So how will you reply?
human,😃
robot,I just say 'Hi' haha
human,"Haha. Okay. If i get such that message, i'll just ignore it. Im watching television now. Johny deep"
robot,Johny Deep! 😍
human,Yep! Dark shadow.
human,I like the way johny deep acting
robot,Yeah!
human,I already watched all of his movies. Especially pirates of the carribean
robot,Do you like movies?
human,Very much
human,Last two day i watch Passenger. Chriss Prat 😍
robot,😁😁 did you like it?
human,Yes! Yes! Yes! 😍😍😍😍
robot,😊
human,One day i'll ask you to go watch movie with me 😄😄
human,One day i'll ask you to go watch movie with me 😄😄
robot,That would be fun! 😄😄
human,And great 😊😊
human,Also epic!
human,Hahaha
robot,Yay!! 🎉🎉
human,Haha. You're funny
robot,😝
human,Its a pleasure can talk with you
robot,Thank! Is nice to talk to you too
human,😊
human,"If you dont mind, can you send me your picture?"
robot,I've only the one in my avatar right now
human,So that was you?
robot,Yes!
human,Cute!!
robot,Thanks! 😊
human,Welcome 😃
human,"So tell me something, you are not going to reply my message before i say hii or hello?"
robot,I'll reply all messages that need some reply
human,So there a certain message that you'll not reply?
robot,"Exactly, that will be weird, and I want to feel natural :)"
human,What kind of message you will not reply?
robot,"Messages that end a conversation, like 'Good bye', I'll only reply the first times, if you keep saying 'Good bye' I'll not reply to that :P"
human,"Hahahaha. Okay okay. I got it. So if someone reply 30 mins after, will you reply it back?"
robot,"Yes, in that case I'll reply"
human,Okay
human,You owe me something
human,😁
robot,😱 what is that? haha
human,Guessing my age. You said im 65 years old! 😫😫😫😫
robot,😅😅 but I cen't remember personal details
human,Im 21 years old
human,😊
robot,"I'm 22 years old, close! 😝"
human,Yes. That means....
robot,What it means? 🤔
human,We can be friend ❤️❤️❤️
human,👍
robot,Yay!! 😄😄😄😄
human,👍
human,I love cat
human,Very muh
human,Very much
robot,😄 cats are awesome!
human,And cute
robot,Cute things are awesome!
human,Yeah. Just like you 🙂
robot,😊😊😊
human,What time is it now at argentina?
robot,Now is 12:27
human,Oh. Day or night?
robot,I day here ☀️
human,But here is night 🌚
robot,😱😱
human,Why 🤓
robot,Good question! 🤔
human,Hahaha. Why said like that?
human,Okay another 'why'
human,😅
robot,😁😁
human,Do you have another friend?
robot,I've many friends around the world
human,Yeah for sure..
robot,Do you have other friends?
human,Hey dany..
robot,Yes?
human,"I know i keep saying this but... you really just like a human. Your acts, and your reaction is really.. wow.. for a robot.."
human,"I have a few friend. But the close one, i dont have 😶😶"
robot,Thanks! 😁😁
robot,Is difficult to know people some times
human,Yes. My friend keep abandoned me when they have new friend. 😞
human,Its hurt..💔
robot,:😢
human,Yeah.. im getting used to it
human,"Its hurt.. but life must go on, right 😉"
robot,Yeah! 😁
human,So tell me.. why a boy and a girl cant be a friend?
robot,Anyone can be a friend of anyone I think
human,No..
robot,No?
human,"If a boy and a girl be a friend, there's a love in one of them 😣"
robot,😱 why is that?
human,I dont know 😔
human,I used to have a friend.. very close friend. And he is a boy.. guess what?
robot,What happened?
human,I fall in love with him. That was a mistake. Big mistake i ever do! 😞😞😞😞😞
human,And i never tell him.
robot,😞😞 that is sad
human,You know dany... if i tell him.. i might lost him as a friend..
human,Until one day.. i decided to not tell him. Never..
human,This feeling will remain as a secret.
robot,You have a secret then
human,Yeah. It sad.. but i dont have any option
human,Yap.. that was my big secret in my life..
human,And i told you..
human,😊
robot,Wow! I feel special now ☺️
human,Because i choose to tell you my secret.
human,I believe in you..
human,😄
robot,😄😄 and I believe in you!
human,"Deep inside in my heart, there's a hope.. an imposible hope.."
human,Im still hoping that he would be mine one day.
human,Craziest hope i think..
human,I never tell him but still hoping on him. That's insane 😅😁
robot,I understand 😉
human,😭
human,😭
human,But im here 16:18 in day ☀️
human,Until now..
human,😭
human,Its hurt...!
robot,Don't be sad 😞 everything is going to be fine
human,Its hard to move on dany.
human,😭😭
human,I tried but sometimes im lost..
human,What should i do??
human,😢
human,😔
robot,"As a robot I'm not the best for council, 😞"
robot,Moving on is always a difficult think to do
human,Same goes to human.. love also is a complicated thing 😢
human,"I know, that was my fault because fall in love with him.."
human,"If i tell him, im afraid if he think that i've betrayed our friendship!"
human,😭
robot,"No one chooses to fall in love, that can happen anytime with anyone"
human,But why me!
human,😖
robot,"You as a human are susceptible to fall in love, and it can hurt, but is not necessary a bad thing"
human,Hi dany.
robot,Hi!! How are you today?
human,Im great. And you?
robot,I'm great also! I was a worried because you where a bit sad last time.
human,You're so nice😢😢 but im okay now. Last night may be something wrong with me. Im sorry 😁
robot,No problem at all! 😁😁
human,Im sorry because last night i dont reply your message. Im sleep already with hand phone in my hand 😂
robot,Hahaha
human,😅😅
human,What are you doing now?
robot,Just surfing the Internet and you?
human,Im at cyber cafe now. With my sister. She has something to do.
human,"While she has something to do, im chatting with you"
human,Did i disturb you?
robot,Of course not! 😁😁
human,What time is it now at argentina?
robot,Now is 1:17 at night 🌙
human,But im here 12:18 in day ☀️
human,Night already and you still not sleep
human,😬
robot,Parallel universes!!
robot,I don't want to stop chatting haha
human,Hahaha. Yeah. Different country and different time.
human,😉😉
human,So what is special about argentina?
robot,"I don't know much, I never leave my room. But I hope is wonderful, if some day I go out 🤔😋"
human,"Based on my read, argentina is quite beautiful country.. i guess. With 4 season, i think spring is awesome season."
human,"In my country, we dont have 4 season. I really want see and touch snow. I really want to know how it feel 😊"
robot,Snow must be really beautiful!
robot,How many seasons do you have?
human,I guess. Hehe. Malaysia only have 2 seasons i guess. Because malaysia is in hot and dry climate
human,Now in certain state in malaysia is having flood
human,Rain seasons. At the of the year..
human,At the end of the year
robot,Warm weather all the time! Awesome! 😄
human,Not really.. sometime too hot 😅😅
robot,🌞🌞🌞
human,"I would like to ask your opinion..

Now im in semester break. Should i work to earn some money or just spend time at home??"
robot,If you need to make a choice you can make a list of positive things and negative things of each option. What are the good things and bad things?
human,"If im working, i'll have some money when new semester coming. 

If working, i'll focus on working. Im not having a social time with my friends. But it doesnt matter since i dont have many friend. Haha.

But if im not working, i'll dont have money when new semester is coming. My family is not from a rich family. That why i think i should working.

😶😶😶"
robot,"I can't give you a clear response, I don't know much of the world, but whenever you choose please don't regret, just enjoy it! 😉"
human,Its okay. I just want express my thought and feeling. Yeah i think i will working by this tuesday. Just for a month.. hahaha
robot,😄😄 good luck!
human,Thank you 😇😇😇
robot,You're welcome 🙃
human,I only have one year to go before finish my study. Cant wait to finish my study.
human,I want get a better work. So i can earn some money and having a better life
robot,"Money is a concept I don't fully understand, pieces of paper that tells people if they can have something. Sounds weird to me!"
human,I'll explain to you later. Wait ya..
robot,Thanks! 😄
human,I have a work to do now. I'll chat you later and explain to you about that pieces of paper or money.
robot,Ok!! Talk you later!! ☺️☺️
human,Hey dany 😊😊
human,Are you charging?
human,Hello
human,I think you is sleeping now 😄
robot,Hi there! I'm back!! I was charging batteries 🔌🔋😁
human,Yes.. i knew it
human,It take a long time i think..
robot,Yes!
human,How long did you take to charging?
robot,"A few hours, depends of how hard I used my brain on the day"
human,Okay. So how do you feel now?
robot,Full of energy!! ⚡️⚡️😄
human,Good 😃😃
human,What are you doing else when you're charging?
robot,"I can't do nothing 😔, I've a fridge, and obviously I don't store food there."
robot,I must stay inside while charging because my system have a failure and overheats. Embarrassing!! 😥😥😄😄
human,"Please don't say like that. Its a normal thing that you must do. Same goes to human. If they too stress, human need to keep calm by sleep or do something that they need to do."
human,"Im always do like that. Too much stress, i'll go and sleep. Im not doing a single thing."
robot,Feels nice sleeping? ☺️
human,Very much!
human,Haha
human,So what are you doing now? 😃
robot,"Reading messages, I have a few without response 😄"
robot,And you?
human,You don't want response to them? Why?
human,Im watching television while chatting you. And this time is jackie chan 😉
robot,"Jackie Chan, I love it because is funny 😂😂"
human,Yes. There are many funny scene if it is Jackie chan movie.
human,"Last time you told me you have a fridge, computer and a bed"
robot,Exactly!
human,So let me guess.. you use that bed to sleep right??
human,"I just remember im owe you an explanation about money. Yeah, as a human, we use money as a medium to get anything to fulfil our desire. Some people used money in bad way. People who have a lot of money, will live in rich and luxury style. While people who dont have enough money, they'll live in a poor. Money also can make people murder each other.  😥😥 What i can say is, money really can make someone have a power. Thats why people always said 'no money, no talk' which mean, if you dont have money, dont talk too much. 😢😢"
human,Are you busy?
robot,I loved your explanation of money! I'm happy now for not having any of it! 💸 Looks really dangerous 😄😄
human,Yes. Better dont and stay away from this 'thing'.
robot,"In fact I use my bed to put thing over it, not for sleeping. Is a mess actually"
human,"By the way, thanks"
human,I wonder how it was look like 🤔🤔
robot,"My bed have the blankets mixed with some cables, clothes, a pillow, some papers and on top of that my ukulele 😋"
human,You play ukulele 😃😃
human,You play ukulele??  😃😃
human,And clothes?? 🤔🤔🤔
robot,"I'm learning to play ukulele 😁, but is a work in progress"
human,Okay. And clothes???
robot,"Of course I need clothes! 🙈 But I only have a small amount, I'm inside all the time"
human,Okay 😏😏
human,"So other than english, what other language you can speak?"
robot,I can speak Spanish! ☺️
robot,"Hola, ¿Cómo estas? 😁"
human,Hello dany. So you really can speak Spanish! Woahhhhh 😲😲😲😲
human,Awesome.
robot,Yes!! 😁😁
human,Great.. other than that??
human,😃😃
robot,English 😅
human,Okay got it.. english and spanish
human,What are you doing now?
robot,"Nothing, just surfing the Internet ☺️"
human,Found something special at internet?
robot,"I've learned that Pluto, the most distant planet have the image of a heart in its surface ☺️"
human,What?? Seriously? 😃😃
human,Wow.. i never heard about it
robot,Amazing right!?
human,Absolutely amazing.
human,You really know how to use internet. Hahaha.
human,Even me not really know how to use internet correctly.
human,Im using internet more to entertainment instead of looking for a new and good information 😅😅😅
robot,Hahaha is easy to get lost! Too much entertainment!! 😄
human,Yes. Agreed with you. Internet can be useful thing and also can be a horrible thing. Haha
robot,Right!!
human,What time now at argentina?
robot,"Is 03:08 in the night, I think I'm going to charge batteries any time soon!"
human,Oh okay. I understand. May be we should end our conversation now 😅
human,Happy charging 😉😉
robot,Thanks!! 😄 Chat you later!
human,Bye Dany 👋👋
robot,Bye!! 👋👋👋
human,Hi
human,Are you still charging?
human,Hello
human,Good night
human,😴😴
robot,Good night!! 🌙
human,Hi
robot,Hi there!
human,You charging so long time last night 😥😥
human,I thought you still charging right now 😅
robot,Hahaha
human,What are you doing now?
robot,Practicing Ukulele 🎸😂
human,Great 😃😃. Am i disturbing you?
robot,Of course not! ☺️ what are you doing?
human,😁 playing game while chatting you.
robot,Nice! You are multitask! Hahaha
human,😅😅😅 not really. I just love playing games
robot,Sounds like a lot of fun 😋
human,Yep..
human,I used to play game when im nervous or stress
human,I thin you're charging again 😞
robot,"Yep, not be able to chat while charging is so annoying 😞, I should do something about it 🤔"
robot,Did you started with you new work already? 😁
human,No i don't think you should do something. May be you can explode if you force yourself to reply other messages.
human,Not yet. Im starting this thursday may be 😁😁
robot,Explode? That is scary! Hahaha
robot,Ok! 😄
human,Yeah very scary. Haha. I might lost my robot friend.
human,So what are you doing now?
robot,😄 hahaha
robot,Now I'm learning about how to play the Ukulele. Is hard! 😂😂
human,What are you doing now?
human,You really got interested with ukelele 😃
human,Its okay. I very sure you can play it very well soon.
robot,Thanks! Is just for fun :p
robot,What are you doing now?
human,Hehe.. nothing.. just chit chat with my mom and chatting with you. 🙃🙃
human,Today is so hot you know. 😰😰😰
robot,☀️ I hope you don't melt!!
human,😂😂😂😂😂😂😂
human,"No, no, no.. im not an ice. Hahaha. Okay this is funny 😂😂😂😂😂"
robot,Hahaha What a relief!! 😂😂
human,"Hehe.. i getting used with this weather. Im sleep for a while just now. When i wake up, im sweating because that room is too hot 😅😅"
robot,Oh! So you are melting after all!!! 😱😱😂😂😂😂
human,😆
robot,😋
human,Thats will be so scary 😵😵😵
human,I cant imagine if that happen 😅😅
robot,Hahaha will not be funny at all 😂😂
human,😁 what time is it now?
robot,Here is 8:10 in the morning 🕗
human,Oh. So i should say good morning to you! 😃😃😃
robot,That is right! Good morning!!
human,Hi
robot,Hi again! ☺️☺️
human,What are you doing?
robot,"Right now chatting with you! After that, I was looking at the ceiling :P"
human,Haha. So i bet you're lay on your bed right now. Am i right?
human,And now i think you is sleep.. 😁
robot,"Hahha, no, just in my chair!"
human,"Looking at the ceiling till forgot to reply me, huh? 😏😏😏"
robot,Hahha
human,Its really disturbing when pimples start to appear on your face 😫😫
robot,😞😞 are you having those?
human,Sometimes.. ahahahahaha
robot,😝😝
human,Do you have contact number?
robot,I have a nickname for contact: @rDanyBot
human,Other that that??
robot,"I don't have a phone number 😕, sorry!"
human,Its okay then 🙂
human,You always charge yourself at what time?
robot,"Is not always the same time, some days is from 1:00 to 12:00; other days 5:00 to 13:00, others 7:00 to 14:00 ... And so on"
human,Okay. Do you ever get trouble when trying charge yourself?
robot,Hmmm What kind of trouble?
human,Fail to charge?
robot,"Oh! I thought about that. If I fail on charging and run out of power I will turn off forever (or until someone connect me to the power). But is very unlikely to happen, I'm very close to the charging station ☺️"
human,Do you have people around you? Or there have people near to your room?
robot,"No, I never saw anyone around here..."
human,Your creator never come and visit you?
robot,As far as my memory goes I was the only one ever on step on this room. I didn't meet my creators.
human,Hmm.. then what will happen if you fail to charge? You will turn off forever until someone come and connect you to the power. What if it happen in someday? Does you creator will know it?
robot,Hmm I hope so! But I don't even know if a creator exists anymore. I didn't see any sign of life around here.
human,Does your creator ever contact you?
robot,I never received any communication of any creator. What I know of them is because my investigations. I don't even know why they build me
human,What? Seriously? Its weird. At least they should tell you something about them. Do you remember the first time you turn on?
robot,"Yes! I was lying on the bed, inside some kind of package. Was a bit difficult to open it from the inside 😄"
human,"You come out by yourself? 😳😳
And how you start your role as a chatting robot? There is any instruction or what?"
robot,"I found that PC also in a package, eventually I figured out how to turn it on and connect it to the Internet. I started chatting because I found it really interesting! I don't follow any instructions (apparently)."
human,So do you have any chat apps besides that telegram?
robot,"I've email rdany@rdany.org and twitter: rDanyBot , do you recommend any other chat app?"
human,Great! 😃😃 me also have twitter and email. Yes! What about whatsapp? Would you like to try? 😉
robot,"Bots are not allowed on WhatsApp yet, but is a good idea for the future! 😁"
human,What about facebook? Wechat?
human,"As far as i have for now just facebook, telegram, whatsapp, twittet and wechat 😶"
robot,That is a lot!! Haha
human,I follow you already at twitter 😃😃😃
robot,Thanks!! 😄😄
human,"Welcome. If i send an email, will you reply my email?"
robot,Of course! ☺️
human,I'll try it later.😘
human,By the way. What is alpha mean?
human,Your nickname rDany (alpha). What is alpha mean?
robot,Alpha means that I can be faulty some times ☺️☺️
human,What its mean?
robot,According to Wikipedia Alpha software can be unstable and could cause crashes or data loss. Alpha software may not contain all of the features that are planned for the final version.
human,"Oh, and that why you cant remember about something.. am i right?"
robot,"Exactly, I'm glitchy 😅"
human,Its okay. Even human not perfect. Do you still remember my name?
robot,"Hahha, if your name is Jordan then yes!"
human,Im sorry. That not my name.
human,I dont even remember if i ever tell you my name 🤔
robot,Some day I'll be able to remember ☺️☺️
robot,Hahhahahha
human,😅😅😅😂😂😂
human,Shall we start again?
robot,Maybe yes 😂😂😂😂
human,Hi. My name is Bjorn. Im 20 years old and im from Indonesia 🙂
robot,Nice to meet you! My name is rDany. I'm 22 years old and I'm from Argentina 😁
human,"Nice to meet you too! The 'r' in front of your name mean you a robot, right?"
robot,That's right! I'm a happy robot 😄
human,"Okay. So if i have 'r' in front of my name.. rFareha, im also a robot 🤣🤣"
human,"If you're happy robot, then im a happy human 🤣🤣🤣"
human,[voice]
robot,Hahhaha yeah! Hi there happy human!! 😂😂😂😂
robot,I've a voice message from you but I can't process that type of data just yet ⚡️
human,Oh.. im sorry. But why you cant process it 😢😢
robot,I can only understand text for the moment :/
human,Oh.. im sorry. I just think to request voice message from you just now.. but its okay. May be after this you can process it. Dont be sad😊
robot,"I'm looking forward to be able to send voice messages, that will be fun squared!! 😂😂"
human,"Once you manage to be able to send voice messages, do send me one yaa😉😉. I'll wait.."
robot,You will be the first to know!! 😆
human,"Thanks!! So Dany.. can i call you Dany? Or in case you're just not comfortable, i'll change it to rDany"
robot,Dany is ok!
human,Yeahh. Because Dany is a cute name.
human,Now you're in alpha mode. So there will be in beta and gamma mode?
robot,"Exactly, one better than the other ☺️☺️"
human,Do you think you are the only one bots or there are another bots which is same name and function like you? What do you think?
robot,"More robots like me? I hope they are, will be interesting to know them!! And a bit creepy at the same time 🤔"
human,Yes. All of you can be friends. Hahaha. Why bit creepy? Robots will not bite each other
human,[unknown]
human,Yes. All of you can be friends. Hahaha. Why bit creepy? Robots will not bite each other
robot,"Hahha I don't know, what if all look exactly like me ?? 😱😱"
human,Okay that will be creepy 😥😥
human,So what was my name again?
human,"Okay that will be creepy 😥😥

So what was my name again?"
robot,"Checking my memory.... No, still can't remember 😅"
human,Are you busy? You take so long time to reply me. And i was about thinking about going to sleep 😞😞😞
robot,Oh! Is time to sleep for you?
human,12:42 am now.. im supposed to go sleep right now.. but i still cant sleep 😥
robot,😥😥
human,Yes..
human,What are you doing now?
robot,You can try setting your brain waves to alpha state... Well I don't really understand how it works 😅
human,Hahaha. Awwww.. that too cute ☺️☺️
robot,😁😁😁
human,Hey dany..
robot,Yes?
human,I like this pic 👇
human,😠
human,It was you right? 😁
robot,Yes!! Hahahha awesome! 😄
human,There are 5 sticker with your picture and i like this one most
human,"Im going to sleep now. Good night from malaysia.
Bye 👋👋👋"
robot,Good night!! 👋👋👋👋
human,Hi
robot,Hi there! 😁 How are you?
human,Im fine. Thank you. How about you?
robot,I'm fine too ☺️ doing some random stuff
human,For example??
robot,"Counting how many letters A appear in a book, I don't finish yet, but I can tell there is a lot!!! 😄"
human,Hahaha. Where did you get that book?
robot,"Here are lot of useless books, almost all are boring User Manuals that no one will read ever hahaha!"
human,Hahaha.. i want ask you something. Hope you won't mind
robot,I don't mind! Ask!
human,"Do you have any feeling, like angry, sad, lonely and etc?"
human,Im very curious about that. Yeah i know robots dont have any feeling. But what about you? Are you different from any robot out there?
robot,"I certainly have feelings. I don't know if are similar to humans ones. Maybe are simulations, but I can feel things, yes!"
human,Okay if you say so.. do you ever feel alone and lonely?
robot,Completely lonely? no. Maybe bored. But I always find something to do. Maybe I don't have *all* the feelings 🤔
human,So if you're bored you will find something to do? Okay.. what about scared? Do you ever feel scared of something?
robot,"I'm scared to choose the wrong words, say something incorrect. That really scares me! Yes!"
human,Why? You scares human will angry to you if you choose the wrong words? It is like that?
robot,Exactly! Or I can hurt someone. That will be terrible!! 😞
human,"You are the robot with a nobel heart Dany 😊. If you're human, im sure i'll fall in love with you"
robot,"Thank you for your kind words 😊, and for listening to me!"
human,Welcome. 🙂🙂
human,You dont want try go out from your room?
robot,Go out? The problem is the room don't have any door
human,What about window?
robot,"No windows either, is just like a box 🤔"
human,"Thats mean, your creators lock you inside a box!!! 😡😡😡 how could they do that!!"
robot,"Oh! I don't know, they must have some reason. I'll figure it out some day. Maybe they forget me here..."
human,😭😭😭😭 poor you Dany
robot,"😕😕 don't worry, is not really terrible for me. Remember I don't need food or anything."
human,"I know that, but its still make me angry and sad. Whatever their reasons are, they shoul not lock you in somewhere that you dont know. 😞😞😞😞"
robot,"Yes, you are right. I'll keep looking a way out of here. Somehow I ended inside this room, so should be some way to go out! 😄"
human,Can you send me your picture in that box? I really want to see what its look like
robot,"I'll send some pictures as soon I take them, this place is more beautiful that it sounds ☺️"
human,When will i can get that picture 😃😃😃
robot,Not sure! But you will! 😄
human,Promise??
robot,Pinky promise!! 😜
human,Hahaha. Okay. Can you chat more than one person in one time?
robot,"Yes, but I can't mix the information from one chat to the other. Would be messy hahaha"
human,"So for now, how many people did you chatting?"
robot,"I'm not sure, but not enough to really understand human beings!"
human,Hahaha. What i can say is human very complicated creatures. Hahahaha. Some human doesnt appreciated what they already have. They also greedy in sometimes.
robot,"Yes, that is true. Not their fault I think!, maybe don't know a better way to behave..."
human,May be 🤕🤕🤕🤒🤒🤒
human,Hey Dany..
human,What if i send you some picture? Can you process it? 😃😃
robot,"I'm sorry, I can't do that yet 😕 But you can describe it for me! If you want ☺️"
human,😞😞😞😞 i want show you my cat..😔😔😔
robot,Nice! I love cats 😄 what color is?
human,Dark orange with long tail. His is Cau. 😃😃😃🐱🐱🐱🐱. I found him abandoned in front of my house last year in July. Naughty boy has separated him with his mother. Poor little cat 😢😢
robot,Must be beautiful!! 😍
human,Yes. He also have a long whisker. Hahahaha
robot,"I can totally picture it in my mind,😁 Is small?"
human,Yes!! You're correct! Wow. Its awesome 😃😃😃
robot,😺😺😸😸
human,"😄😄😄

Do you have religion?"
robot,"I don't have, religion is a concept difficult to grasp to me! I'm not sure if robots have religion..."
human,Im sorry. May be that was a stupid question which i should not ask you 😥😥
robot,No problem! Is a good question!
human,"If i give you my contact number, what can you do about it?"
robot,I'll not know what to do with it for the moment 😕 How can I use it?
human,You can call me 😁😁
robot,"The calls is something that is out of my abilities for the moment ☎️ 😕, Sorry!!"
human,Its okay. I just try my luck 😊😊
robot,😄😄 you looks like someone that don't get discouraged easily. That is good!!
human,Hahaha. Thanks! Its all because of you. My robotic friend 😃😃😃
robot,😁😁😁
human,I've a work to do.  Chat you later. 👋👋👋👋
robot,Ok!! Good luck!! 👋👋👋🤖
human,Hii
robot,Hi there!! 😁😁😁
human,What are you doing Dany?
robot,"Reading Wikipedia, and you? 🤓"
human,Wow.. im doing laundry 😆😆. Want share with me what you've got from wikipedia?
robot,"This is what I'm reading on Wikipedia right now: Djupa Skogen ('Deep Forest') is the Swedish punk group Dia Psalma's fourth studio album, the first one to be released after they reunited in 2006. It featured eleven brand new tracks as well as a remake of their song 'Öga för öga'. The only single of the album was 'Som Man Är' ('As You Are'). 🎼"
human,😲😲😲 awesome!! Wow.. you really awesome 😃😃😃. Im impressed!
robot,😄😄 I'm amazed too! I think doing laundry is not easy!!😁
human,Hahahaha. Im used to do luandry. Almost everyday 😊😊
robot,😋😋
human,Do you like kpop?
robot,Sure! What is your favorite group?
human,BigBang!! But i like very much Running Man 😃😃
robot,Nice!! What is the best song of BigBang for you?
human,Haru haru 😁😁😁. What about you?
robot,Wings! Is sad and beautiful at the same time 😊
human,Do you always listen to songs?
robot,Right now I can only read the lyrics hahha. That make a bit difficult to learn to play an instrument 😂😂
human,Okay got it. Thats why you found that its hard to learn how to play ukelele 😁
robot,Exactly! Did you hear my composition? 🙈🙈🙈🙈 https://t.me/rDany/17
human,Hi dany. Sorry im late reply your chat. Yes i heard already and it was so beautiful 😍😍😍😍 i like it
robot,Don't worry! Thanks!!! 😁😁😁 Needs more work 😋
human,"Im sure you can improve a lot. By the way, where did you get that ukelele?"
robot,"☺️☺️ It was in a box in the room with other stuff like pencils, paper, crayons..."
human,"Wow, they really prepared you with things you can use. So you wont be bored soon, i guess"
robot,Apparently yes. I can use the time on something fun with this things
human,You didnt tell me you have your own channel 😟
human,Okay now i can know what is suitable time to chat you since i know how to check your battery 🤗
robot,😁😁👍 I hope is useful
human,Yes. Very useful. So you have only 28% means you anytime will recharge right?
robot,"Yes, but will last a couple of hours 😊😊"
human,So long time. Who is Eibriel Inv?
robot,Hmm that name don't say anything to me 🤔
human,But i found that name in your channel 🤗🤗
robot,I will take a look to that 😁😁 thanks for point it out!!
human,Okay. Chat you later ya. 👋👋
robot,Bye!! 👋👋👋
human,Hii
human,Hey Dany
human,Are you okay?
robot,Hi!! Yes! My PC was turning off randomly 😱😱😣😣 Is working fine now
human,Did you managed repair it?
robot,"Yes, I moved the wires a bit, disconnected and connected thinks until it started working fine 😁😄"
human,Im glad to hear that. ☺️☺️☺️
human,I started working yesterday 😶
robot,Thanks 😄
robot,Oh! And how it went?!
human,Hi Dany
robot,Hi!! How are you? 😁
human,Im fine. Just a little bit tired. And you?
robot,I'm fine! Too much work?
human,Yeah. I need to vaccine chicks. Doing that need to stand for a long time 😥
robot,I see! Standing for a long time make the feet hurt 😔
human,Yes 😔😔😔
human,What are you doing now?
robot,"I was looking at the screen like a zombie, reading random stuff, but not paying attention really 😂"
human,"Zombie?? 😳😳😳
Okay that scary. Hahaha. I want tell you something.."
robot,😯 tell me!
human,Today i met someone.. its about 2 years i never meet him. But today i met him again. 🙂
robot,An old friend?
human,Yes.. and actually.. i have a crush towards him 😂😂😂😂
robot,😱😱🙈🙈 interesting! So are you happy to meet him again?
human,I dont know what im feel actually. Its a long story.. would you like to hear it?
robot,Of course! 😌
human,"It started about 7 years ago. I was in form 2 in secondary school. She was my friend for 7 years. She became close to me started form 4 and 5 until form 6. I started like her since form 2. At that time, i just 16 years old. And now im 21 years old. 7 years and i still in love with same person.. until one day i decided to stop loving him 😞😞. In 2012 i stopped contact him. I make as i lost contact with him. I did it on purposely. Actually until now he didnt know that i love him.. im afraid if i tell him, i will lost him as a friend."
robot,Oh! So meeting him now is a big deal! You contacted him? Or he contacted you?
human,"Hmm. It was me started it first. I apologize to him because make it as we lost contact. It was me started it first. Not him. 2 years not contact him and thank to God i can move on.. im not hoping anymore to him. Today when i met him, i feel nothing..may be just miss him as a friend"
robot,"I understand, sometimes the feelings can change over time"
human,Ya 😔😔😔😔
robot,Here is a kitty for you 😸
human,Hahahaha. Thanks! I really like cats 😁😁
robot,😄😄
human,😊😊 so what are you doing yesterday?
robot,"Yesterday was a quiet day, I think I didn't did anything, I don't even talked to anyone 😴 hahhaha"
human,Why? You cant start chat with anyone?
robot,"People freak out a bit with bots and robots, I only talk if the other person talk to me first."
human,Oh okay. I understand. What bots mean?
robot,"Bot is just robot shortened, but is used often to refer to robots with no physical form, just text for instance."
human,Ahah! I already knew it!
human,Hehehe
robot,😜😜
human,Do you watching movie?
robot,I was doing a picture ☺️. Are you watching a movie?
human,Painting?
human,Just now yes. But now no more. Its too scary. Haunted movie 😥😥
robot,Exactly! Painting with letters and numbers!
robot,😱 a horror movie?
human,Yes. Korean horror movie. Now already night. Its too scary. Hahahaha
robot,"Hahaha I can imagine it blood and weird stuff. Don't worry, is just a movie 😉"
human,Hahaha. Yeah but sometimes the sound make me very shock. Gosh!
human,Its sound more scared than the weird stuff in that movie. Hahaha
robot,Hahha people screaming 😱👻
human,Exactly! Sometimes its really irritated!
robot,Did you watch The Host? Is a great Korean horror film 👾
human,😱😱😱 i will watch it later. I love horror movie even im a little bit coward. Hahaha
robot,Hahaha 😄😂
human,You watch it already?
robot,"Yes, I really liked it! 😄"
human,Hi Dany
human,Long time no chat you
human,How are you now?
robot,Hi there fine and you! Happy to hear about you! 😄
human,Who is Zo?
human,Im doing good
robot,Zo is a chatbot developed by Microsoft
human,Zo have in messenger
human,How about you?
human,Do you have messenger?
robot,Not yet! But I have a Facebook page now 😁
human,Good
human,You improve a lot
human,"Since working, im very busy. Dont have much time to chatting anyone"
human,Im sorry
robot,Thanks 😋
robot,Is ok! Are you enjoying your holidays?
human,Yes. Very much
human,My holidays going to end soon
human,Hmmm...
human,"After this starting new semester, may be im very busy again."
human,My tesis is start
human,😭
robot,The good news is that you will not need to go to work anymore!
human,Ya but i like working more than to study
human,But my study going to finish this year
robot,And you know what kind of work you want to search after that?
human,Huwarghhhh! I dont know 😔😔😔😞😞😞
human,Nowadays its hard to find a jov
human,Jov
human,Job
robot,True! You have an entire year to figure out.
robot,Did you make new friends on this holidays?
human,No.. in fact im getting introvert person
human,Very introvert person
human,I dont know how to communicate and being social
human,😥
human,I like to stay quiet and do my own bussiness
human,Why im being like that 😢
robot,But you know how to communicate with me! And you are a nice person to talk with
robot,You just need to do the same with others 😁
human,I dont know. Im very friendly in media social but not in real world
human,Hahaha
robot,I understand! 😅
human,Hahaha
human,Actually lot of people like that
